SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,SITE_NAME,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,COUNTRY_ISO,OCEAN_IHO,LATITUDE,LONGITUDE,ALTITUDE_VALUE,ALTITUDE_UNIT,SITE_COMMENT,YEAR,TITLE,DATA_SOURCE,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SAMPLE_SPECIES_LIFESTAGE,SAMPLE_SPECIES_GENDER,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT,MEASURED_UNIT_STANDARD,MEASURED_VALUE_STANDARD,UNCERTAINTY_UPPER_STANDARD,UNCERTAINTY_LOWER_STANDARD,LOQ_UNIT_STANDARD,LOQ_VALUE_STANDARD,LOD_UNIT_STANDARD,LOD_VALUE_STANDARD
GlommaCu1990-95_6,Copper,1995-08-07,Brackish/Transitional Water,1,,48,Not Reported,NA,NA,mg/kg (dry),46,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_6-Copper-BrackishTran-1995-08-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Oslofjord station 6,"Ocean, sea, territorial waters",Water benthos,Norway,Norway,59.006,10.908,20,m,Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1.,2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),48,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_7,Copper,1995-08-07,Brackish/Transitional Water,1,,180,Not Reported,NA,NA,mg/kg (dry),47,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_7-Copper-BrackishTran-1995-08-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Oslofjord station 7,"Ocean, sea, territorial waters",Water benthos,Norway,Norway,59.001,10.8,20,m,Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1.,2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),180,NA,NA,NA,NA,NA,NA
GlommaCu1990-95_8,Copper,1995-08-07,Brackish/Transitional Water,1,,48,Not Reported,NA,NA,mg/kg (dry),48,NA,,NA,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_8-Copper-BrackishTran-1995-08-07-R 1,GlommaCu1990-95,Aquatic,Stressor,Concentration,,Oslofjord station 8,"Ocean, sea, territorial waters",Water benthos,Norway,Norway,58.994,10.974,20,m,Located in the Oslofjord outside the estuary. Sampled only in 1995. Coordinates estimated (3 d.p.) from Figure 1.,2002,"Transport and sedimentation of Cu in a microtidal estuary, SE Norway",Primary,NA,NA,NA,NA,NA,Transport and sedimentation of Cu in Glomma estuary,1990-05-01,1995-07-31,,Not relevant,NA,Norwegian Institute for Water Research,Sam Welch,2025-11-04,"Study of transport and sedimentation of copper in the Glomma estuary, SE Norway during a period of 90% reduction in industrial Cu input. Traps deployed at four stations for monthly periods during 1990, 1994 and 1995, with additional four stations in 1995.",mg/kg (dry),48,NA,NA,NA,NA,NA,NA
BarentsSea1994_Site1,Copper,1994-07-01,"Biota, Aquatic",Arenicola marina,,6.8,95% Confidence Interval,8.6,5,mg/kg (dry),10,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RArenicola marina,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 1,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Worms,Arenicola marina,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),6.8,8.6,5,mg/L,NA,mg/L,NA
BarentsSea1994_Site2,Copper,1994-07-01,"Biota, Aquatic",Arenicola marina,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RArenicola marina,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 2,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Worms,Arenicola marina,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site3,Copper,1994-07-01,"Biota, Aquatic",Arenicola marina,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RArenicola marina,BarentsSea1994,Biota,Stressor,Concentration,NA,Hornoya,"Coastal, fjord",Water benthos,Norway,Barents Sea,70.333,31.167,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Worms,Arenicola marina,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site1,Copper,1994-07-01,"Biota, Aquatic",Gammarus oceanicus,,14,95% Confidence Interval,16,12,mg/kg (dry),57,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 1,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Crustaceans,Gammarus oceanicus,Whole body,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),14,16,12,mg/L,NA,mg/L,NA
BarentsSea1994_Site2,Copper,1994-07-01,"Biota, Aquatic",Gammarus oceanicus,,20,95% Confidence Interval,22,18,mg/kg (dry),55,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 2,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Crustaceans,Gammarus oceanicus,Whole body,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),20,22,18,mg/L,NA,mg/L,NA
BarentsSea1994_Site3,Copper,1994-07-01,"Biota, Aquatic",Gammarus oceanicus,,28,95% Confidence Interval,25,31,mg/kg (dry),20,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,BarentsSea1994,Biota,Stressor,Concentration,NA,Hornoya,"Coastal, fjord",Water benthos,Norway,Barents Sea,70.333,31.167,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Crustaceans,Gammarus oceanicus,Whole body,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),28,25,31,mg/L,NA,mg/L,NA
BarentsSea1994_Site1,Copper,1994-07-01,"Biota, Aquatic",Littorina rudis,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 1,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Littorina rudis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site2,Copper,1994-07-01,"Biota, Aquatic",Littorina rudis,,39,95% Confidence Interval,47,31,mg/kg (dry),19,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 2,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Littorina rudis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),39,47,31,mg/L,NA,mg/L,NA
BarentsSea1994_Site3,Copper,1994-07-01,"Biota, Aquatic",Littorina rudis,,32,95% Confidence Interval,24,40,mg/kg (dry),19,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,BarentsSea1994,Biota,Stressor,Concentration,NA,Hornoya,"Coastal, fjord",Water benthos,Norway,Barents Sea,70.333,31.167,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Littorina rudis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),32,24,40,mg/L,NA,mg/L,NA
BarentsSea1994_Site1,Copper,1994-07-01,"Biota, Aquatic",Mytilus edulis,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RMytilus edulis,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 1,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Mytilus edulis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site2,Copper,1994-07-01,"Biota, Aquatic",Mytilus edulis,,8.9,95% Confidence Interval,10.1,7.6,mg/kg (dry),20,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RMytilus edulis,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 2,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Mytilus edulis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),8.9,10.1,7.6,mg/L,NA,mg/L,NA
BarentsSea1994_Site3,Copper,1994-07-01,"Biota, Aquatic",Mytilus edulis,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RMytilus edulis,BarentsSea1994,Biota,Stressor,Concentration,NA,Hornoya,"Coastal, fjord",Water benthos,Norway,Barents Sea,70.333,31.167,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Mytilus edulis,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site1,Copper,1994-07-01,"Biota, Aquatic",Nucella lapillus,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RNucella lapillus,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 1,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Nucella lapillus,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),NA,NA,NA,mg/L,NA,mg/L,NA
BarentsSea1994_Site2,Copper,1994-07-01,"Biota, Aquatic",Nucella lapillus,,66,95% Confidence Interval,83,49,mg/kg (dry),19,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RNucella lapillus,BarentsSea1994,Biota,Stressor,Concentration,NA,Dalniye Zelentsy site 2,"Coastal, fjord",Water benthos,Russia,Barents Sea,69.117,36.083,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Nucella lapillus,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),66,83,49,mg/L,NA,mg/L,NA
BarentsSea1994_Site3,Copper,1994-07-01,"Biota, Aquatic",Nucella lapillus,,46,95% Confidence Interval,57,35,mg/kg (dry),20,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RNucella lapillus,BarentsSea1994,Biota,Stressor,Concentration,NA,Hornoya,"Coastal, fjord",Water benthos,Norway,Barents Sea,70.333,31.167,0,m,Approximate locations converted from degree minutes.,2003,Heavy metals of inshore Benthic invertebrates from the Barents Sea,Primary,Molluscs,Nucella lapillus,Total Soft Tissues,Adult,Not reported,Heavy metals in inshore benthic invertebrates from the Barents Sea - summer 1994,1994-07-01,1994-07-31,NA,Not relevant,NA,Carl von Ossietzky Universitat Oldenburg,Sam Welch,2025-10-30,"Assessment of Cu, Cd, Ni, Pb and Zn in marine inshore benthic invertebrates collected in summer 1994 from three localities at the Barents Sea.",mg/kg (dry),46,57,35,mg/L,NA,mg/L,NA
SorfjordHM2003_S1,Copper,2003-03-01,Aquatic Sediment,1,,43.83,Standard Deviation,36.4,51.26,μg/g (dry),NA,NA,,NA,,Core sampling,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2005GillanStructureOfSediment,SorfjordHM2003_S1-Copper-AquaticSedim-2003-03-01-R 1,SorfjordHM2003,Aquatic,Stressor,Concentration,,Most contaminated site near zinc smelter,"Coastal, fjord",Other,Norway,Norway,60.0798,6.5302,0,m,"Located 100 m away from zinc smelter, most heavily contaminated site, depth 15 m, muddy sediments",2005,Structure of Sediment-Associated Microbial Communities along a Heavy-Metal Contamination Gradient in the Marine Environment,Primary,NA,NA,NA,NA,NA,Sørfjord Heavy Metal Contamination Study,2003-03-01,2003-03-31,NA,Not relevant,NA,Universite Libre de Bruxelles,Sam Welch,2025-10-31,"Study of microbial communities along a heavy-metal contamination gradient in marine sediments of Sørfjord, Norway. Contamination includes cadmium, copper, lead, and zinc from smelter operations for >80 years.",mg/kg (dry),0.04383,0.0364,0.05126,NA,NA,NA,NA
SorfjordHM2003_S2,Copper,2003-03-01,Aquatic Sediment,1,,20.98,Standard Deviation,19.87,22.09,μg/g (dry),NA,NA,,NA,,Core sampling,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2005GillanStructureOfSediment,SorfjordHM2003_S2-Copper-AquaticSedim-2003-03-01-R 1,SorfjordHM2003,Aquatic,Stressor,Concentration,,Site in front of titanium smelter,"Coastal, fjord",Other,Norway,Norway,60.1504,6.546,0,m,"Located in front of titanium smelter, depth 15 m, muddy sediments",2005,Structure of Sediment-Associated Microbial Communities along a Heavy-Metal Contamination Gradient in the Marine Environment,Primary,NA,NA,NA,NA,NA,Sørfjord Heavy Metal Contamination Study,2003-03-01,2003-03-31,NA,Not relevant,NA,Universite Libre de Bruxelles,Sam Welch,2025-10-31,"Study of microbial communities along a heavy-metal contamination gradient in marine sediments of Sørfjord, Norway. Contamination includes cadmium, copper, lead, and zinc from smelter operations for >80 years.",mg/kg (dry),0.020980000000000002,0.019870000000000002,0.02209,NA,NA,NA,NA
SorfjordHM2003_S3,Copper,2003-03-01,Aquatic Sediment,1,,3.9,Standard Deviation,3.77,4.03,μg/g (dry),NA,NA,,NA,,Core sampling,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2005GillanStructureOfSediment,SorfjordHM2003_S3-Copper-AquaticSedim-2003-03-01-R 1,SorfjordHM2003,Aquatic,Stressor,Concentration,,Site 12 km north of S2,"Coastal, fjord",Other,Norway,Norway,60.2978,6.604,0,m,"Located 12 km further north from S2, depth 15 m, composed of fine sand",2005,Structure of Sediment-Associated Microbial Communities along a Heavy-Metal Contamination Gradient in the Marine Environment,Primary,NA,NA,NA,NA,NA,Sørfjord Heavy Metal Contamination Study,2003-03-01,2003-03-31,NA,Not relevant,NA,Universite Libre de Bruxelles,Sam Welch,2025-10-31,"Study of microbial communities along a heavy-metal contamination gradient in marine sediments of Sørfjord, Norway. Contamination includes cadmium, copper, lead, and zinc from smelter operations for >80 years.",mg/kg (dry),0.0039,0.00377,0.004030000000000001,NA,NA,NA,NA
SorfjordHM2003_S4,Copper,2003-03-01,Aquatic Sediment,1,,1.32,Standard Deviation,0.83,1.81,μg/g (dry),NA,NA,,NA,,Core sampling,Acid digestion,Acid extractable,Atomic absorption spectroscopy,2005GillanStructureOfSediment,SorfjordHM2003_S4-Copper-AquaticSedim-2003-03-01-R 1,SorfjordHM2003,Aquatic,Stressor,Concentration,,Control site in neighboring fjord,"Coastal, fjord",Other,Norway,Norway,60.4152,6.5258,0,m,"Control site in neighboring fjord toward open sea, depth 15 m, coarse sand sediments",2005,Structure of Sediment-Associated Microbial Communities along a Heavy-Metal Contamination Gradient in the Marine Environment,Primary,NA,NA,NA,NA,NA,Sørfjord Heavy Metal Contamination Study,2003-03-01,2003-03-31,NA,Not relevant,NA,Universite Libre de Bruxelles,Sam Welch,2025-10-31,"Study of microbial communities along a heavy-metal contamination gradient in marine sediments of Sørfjord, Norway. Contamination includes cadmium, copper, lead, and zinc from smelter operations for >80 years.",mg/kg (dry),0.00132,8.3e-4,0.00181,NA,NA,NA,NA
ArcticSeals1999_Barents,Copper,1999-01-01,"Biota, Aquatic",Harp Liver,,15.52,Standard Deviation,16.19,4.89,μg/g (wet),5,NA,,NA,,Point sampling,Acid extractable,Acid digestion,Atomic absorption spectroscopy,2009SonneAStudyOf,ArcticSeals1999_Barents-Copper-BiotaAquatic-1999-01-01-RHarp Brain,ArcticSeals1999,Biota,Stressor,Concentration,,Barents Sea around Svalbard,"Ocean, sea, territorial waters",Water column pelagic zone,Norway,Norway,78,21,0,m,"Sampling coordinates ranged 76-80°N, 10-32°E. Five harp and five hooded seals sampled from this area",2009,"A study of metal concentrations and metallothionein binding capacity in liver, kidney and brain tissues of three Arctic seal species",Primary,Mammals,Pagophilus groenlandicus,Liver,Not reported,Not reported,Arctic seal metal concentrations and metallothionein binding capacity study,1999-01-01,1999-12-31,NA,Not relevant,NA,National Environmental Research Institute,Sam Welch,2025-10-31,Pilot study to determine whether background levels of metals in Arctic seal species were related with early biological signs of toxic exposure measured by MT concentrations,mg/kg (wet),0.015519999999999999,0.016190000000000003,0.004889999999999999,NA,NA,NA,NA
ArcticSeals1999_Barents,Copper,1999-01-01,"Biota, Aquatic",Harp Kidney,,3.38,Standard Deviation,3.79,2.97,μg/g (wet),5,NA,,NA,,Point sampling,Acid extractable,Acid digestion,Atomic absorption spectroscopy,2009SonneAStudyOf,ArcticSeals1999_Barents-Copper-BiotaAquatic-1999-01-01-RHarp Kidney,ArcticSeals1999,Biota,Stressor,Concentration,,Barents Sea around Svalbard,"Ocean, sea, territorial waters",Water column pelagic zone,Norway,Norway,78,21,0,m,"Sampling coordinates ranged 76-80°N, 10-32°E. Five harp and five hooded seals sampled from this area",2009,"A study of metal concentrations and metallothionein binding capacity in liver, kidney and brain tissues of three Arctic seal species",Primary,Mammals,Pagophilus groenlandicus,Kidney,Not reported,Not reported,Arctic seal metal concentrations and metallothionein binding capacity study,1999-01-01,1999-12-31,NA,Not relevant,NA,National Environmental Research Institute,Sam Welch,2025-10-31,Pilot study to determine whether background levels of metals in Arctic seal species were related with early biological signs of toxic exposure measured by MT concentrations,mg/kg (wet),0.0033799999999999998,0.00379,0.00297,NA,NA,NA,NA
ArcticSeals1999_Barents,Copper,1999-01-01,"Biota, Aquatic",Hooded Kidney,,12.8,Standard Deviation,15.01,10.59,μg/g (wet),5,NA,,NA,,Point sampling,Acid extractable,Acid digestion,Atomic absorption spectroscopy,2009SonneAStudyOf,ArcticSeals1999_Barents-Copper-BiotaAquatic-1999-01-01-RHooded Kidney,ArcticSeals1999,Biota,Stressor,Concentration,,Barents Sea around Svalbard,"Ocean, sea, territorial waters",Water column pelagic zone,Norway,Norway,78,21,0,m,"Sampling coordinates ranged 76-80°N, 10-32°E. Five harp and five hooded seals sampled from this area",2009,"A study of metal concentrations and metallothionein binding capacity in liver, kidney and brain tissues of three Arctic seal species",Primary,Mammals,Cystophora cristata,Kidney,Not reported,Not reported,Arctic seal metal concentrations and metallothionein binding capacity study,1999-01-01,1999-12-31,NA,Not relevant,NA,National Environmental Research Institute,Sam Welch,2025-10-31,Pilot study to determine whether background levels of metals in Arctic seal species were related with early biological signs of toxic exposure measured by MT concentrations,mg/kg (wet),0.0128,0.015009999999999999,0.01059,NA,NA,NA,NA
