ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Northern pike,63,29,1,0.9845,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Gonad,"Coastal, fjord",Not relevant,mg/kg (dry),Green sea urchin,64,29,1,0.9848,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Littorina littorea,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Common periwinkle,65,28,1,0.9851,top99,FALSE,TRUE,,,
Biota,"Biota, Terrestrial",Birds,Rissa tridactyla,Liver,Bare land and lichen/moss,Other,mg/kg (dry),Black-legged kittiwake,66,28,1,0.9854,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Euphausiacea,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Krill,67,27,1,0.9857,top99,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Crustaceans,Eukrohnia hamata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Arrow worm,68,26,1,0.986,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Isobactrus setosus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),,69,26,1,0.9862,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Lung,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,70,26,1,0.9865,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),European perch,71,25,1,0.9868,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Kidney,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,72,25,1,0.987,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Meganyctiphanes norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Nordic krill,73,24,2,0.9873,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Worms,Alitta virens,Whole body,"Coastal, fjord",Other,mg/kg (dry),Clam worm,74,24,1,0.9875,top99,FALSE,FALSE,,,
