group_id,ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,dip_p,cum_pct,tier,flag_multimodal,flag_outliers,notebook,decision,lump_into,notes
G077-Bc-Owc-E-nor-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Euchaeta norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,80,23,2,,0.9876,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G078-Bm-Mot-O-rmd-Liv-Mw,Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Liver,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,81,23,1,,0.9878,top99,FALSE,FALSE,Birds and Mammals,,,
G079-Bf-Lnr-S-tru-Liv-Mw,Biota,"Biota, Aquatic",Fish,Salmo trutta,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),River trout,82,22,1,0.17996721897770418,0.9881,top99,FALSE,FALSE,Fish,,,
G249-Bm-Ows-Cy-cri-Kid-Mw,Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Kidney,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Hooded seal,83,22,1,,0.9883,top99,FALSE,FALSE,,,,
G250-Bm-Ows-Cy-cri-Liv-Mw,Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Liver,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Hooded seal,84,22,1,,0.9885,top99,FALSE,FALSE,,,,
G251-Bm-Ows-Cy-cri-Mus-Mw,Biota,"Biota, Aquatic",Mammals,Cystophora cristata,Muscle,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Hooded seal,85,22,1,,0.9887,top99,FALSE,FALSE,,,,
G080-Bm-Mot-O-rmd-Mus-Mw,Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Muscle,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,86,22,1,,0.989,top99,FALSE,FALSE,Birds and Mammals,,,
G081-Bm-Mot-O-rmd-Skn-Mw,Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Skin,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,87,22,1,,0.9892,top99,FALSE,FALSE,Birds and Mammals,,,
G082-Bf-Cnr-C-har-Mus-Mw,Biota,"Biota, Aquatic",Fish,Clupea harengus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic herring,88,21,1,0.5709105523569198,0.9894,top99,FALSE,FALSE,Fish,,,
G083-Bf-Cnr-L-lim-Liv-Mw,Biota,"Biota, Aquatic",Fish,Limanda limanda,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Common dab,89,21,1,0.8685254546125384,0.9896,top99,FALSE,FALSE,Fish,,,
G084-Bl-Cnr-M-edu-Wbd-Mw,Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Blue mussel,90,21,1,0.7274278751740988,0.9899,top99,FALSE,FALSE,Molluscs,,,
G085-Bf-Rnr-B-bjo-Gil-Md,Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Gill,"River, stream, canal",Not reported,mg/kg (dry),White bream,91,20,1,0.4772086549932749,0.9901,top99,FALSE,FALSE,Fish,,,
G086-Bf-Lnr-L-lot-Liv-Mw,Biota,"Biota, Aquatic",Fish,Lota lota,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Burbot,92,20,1,0.6454184768810063,0.9903,tail,FALSE,FALSE,Fish,,,
G087,Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Whole body,,,mg/kg (wet),Greenland flounder,93,20,1,,0.9905,tail,FALSE,FALSE,Fish,,,
G088-Bl-Cwb-M-edu-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),Blue mussel,94,20,1,,0.9907,tail,FALSE,FALSE,Molluscs,,,
